date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2023-07-01,MDA,MDL,Moldova,63,17.665,3.56637418624399,-0.36086,-0.38737,-0.33847,0.12602,0.01906,9513.15183714286,4.21259201955346,-0.21796,-0.3228,-0.25161,0.29794,0.05232
2023-07-01,MEX,MXN,Mexico,89,16.7025,5.32854363119294,-0.04506,-0.08467,-0.0116,0.6824,0.52259,13714.2708310112,4.27179817452217,0.15226,-0.00221,0.10268,0.91238,0.55049
2023-07-01,MYS,MYR,Malaysia,13.15,4.509,2.91638944333555,-0.47735,-0.49903,-0.45903,-0.0792,-0.16667,22998.732104943,4.40264361208003,-0.38809,-0.47013,-0.41442,0.01557,-0.17662
2023-07-01,NIC,NIO,Nicaragua,159,36.55,4.35020519835841,-0.22039,-0.25273,-0.19307,0.3735,0.24304,3007.52335018868,4.12090853024272,-0.02486,-0.15558,-0.06681,0.61842,0.31216
2023-07-01,NOR,NOK,Norway,70,10.1165,6.9193891167894,0.24003,0.1886,0.28349,1.18468,0.97716,81488.646558,5.22693898297253,0.22285,0.05891,0.17023,1.02953,0.64547
2023-07-01,NZL,NZD,New Zealand,8.1,1.60681288663935,5.041035,-0.09659,-0.13406,-0.06493,0.59162,0.44044,51138.9702,4.79922254734561,-0.02971,-0.15979,-0.07146,0.61037,0.30563
2023-07-01,OMN,OMR,Oman,1.42,0.38505,3.68783274899364,-0.3391,-0.36651,-0.31594,0.16437,0.05377,37429.2725070423,4.60601247941655,-0.2604,-0.35955,-0.29222,0.2275,-0.00479
2023-07-01,PAK,PKR,Pakistan,985,286.25,3.4410480349345,-0.38332,-0.4089,-0.36171,0.08645,-0.01675,1670.59431922843,4.10206725783298,-0.22511,-0.32899,-0.25845,0.28607,0.0427
2023-07-01,PER,PEN,Peru,14.9,3.60375,4.13458203260493,-0.25904,-0.28977,-0.23307,0.30543,0.18142,10417.0978993289,4.22533128514418,-0.09609,-0.21727,-0.13499,0.50019,0.2163
2023-07-01,PHL,PHP,Philippines,155,54.925,2.82203004096495,-0.49426,-0.51524,-0.47654,-0.10899,-0.19363,7106.19318,4.17867087438569,-0.37616,-0.45979,-0.403,0.03538,-0.16055
2023-07-01,POL,PLN,Poland,19.9,3.9946,4.98172532919441,-0.10722,-0.14425,-0.07593,0.5729,0.42349,22844.5990733668,4.40047142315451,0.04576,-0.09443,0.00076,0.73563,0.40718
2023-07-01,QAT,QAR,Qatar,14,3.64,3.84615384615385,-0.31073,-0.33931,-0.28657,0.21436,0.09901,122483.546074286,5.80467800375018,-0.38793,-0.46998,-0.41427,0.01584,-0.1764
2023-07-01,ROU,RON,Romania,14.5,4.4761,3.23942717991108,-0.41946,-0.44354,-0.39911,0.0228,-0.07436,28544.2487131035,4.48079629382114,-0.33217,-0.4217,-0.36091,0.10838,-0.10136
2023-07-01,SAU,SAR,Saudi Arabia,19,3.7516,5.06450581085404,-0.09238,-0.13003,-0.06058,0.59903,0.44714,35076.6089242105,4.57285651195224,0.02306,-0.11409,-0.02096,0.69795,0.37664
2023-07-01,SGP,SGD,Singapore,6.45,1.3278,4.85765928603705,-0.12945,-0.16556,-0.09894,0.53372,0.38804,98765.2611906977,5.47041742877973,-0.17973,-0.28969,-0.21502,0.36139,0.10377
2023-07-01,SWE,SEK,Sweden,60.27,10.5075,5.73590292648109,0.02794,-0.0147,0.06396,0.81102,0.63899,52148.1981174714,4.81344554473459,0.10077,-0.0468,0.05341,0.82693,0.48121
2023-07-01,THA,THB,Thailand,128,34.22875,3.73954643391886,-0.32983,-0.35763,-0.30635,0.1807,0.06855,10803.7334348438,4.23078011995832,-0.18351,-0.29297,-0.21864,0.35511,0.09867
2023-07-01,TUR,TRY,Turkey,95,26.92675,3.52809009627972,-0.36773,-0.39395,-0.34557,0.11394,0.00812,10335.8205492632,4.22418584760946,-0.22848,-0.33191,-0.26167,0.28048,0.03817
2023-07-01,TWN,TWD,Taiwan,75,31.4265,2.38652092978855,-0.57231,-0.59005,-0.55732,-0.2465,-0.31807,72399.7109136,5.09884907810472,-0.56764,-0.6256,-0.58624,-0.28242,-0.41821
2023-07-01,UKR,UAH,Ukraine,105,36.93145,2.84310526664943,-0.49048,-0.51162,-0.47263,-0.10234,-0.18761,7474.25275028572,4.18385791907256,-0.37228,-0.45643,-0.39929,0.04182,-0.15533
2023-07-01,URY,UYU,Uruguay,259,37.765,6.85820203892493,0.22907,0.17809,0.27214,1.16536,0.95968,17935.5010392278,4.3312877558054,0.46267,0.26658,0.39973,1.42755,0.96817
2023-07-01,USA,USD,United States,5.58,1,5.58,0,-0.04148,0.03504,0.76179,0.59444,76348.494,5.15449907604394,0,-0.13406,-0.04303,0.65968,0.34561
2023-07-01,VNM,VND,Vietnam,74000,23687.5,3.12401055408971,-0.44014,-0.46336,-0.42052,-0.01365,-0.10734,7212.38709714081,4.18016745982498,-0.30965,-0.4022,-0.33935,0.14576,-0.07106
2023-07-01,ZAF,ZAR,South Africa,49.9,17.78375,2.80593238209039,-0.49714,-0.518,-0.47952,-0.11407,-0.19823,12248.7634496994,4.25114485400152,-0.39029,-0.47203,-0.41652,0.01192,-0.17957
